Title,Source,Description
"Couche-Tard to use record revenue to buy 2,200 gas stations from TotalEnergies for $4.4 billion",Financial Post,"Alimentation Couche-Tard agreed to purchase almost 2,200 retail sites from oil company TotalEnergies after reporting record revenue. Read on."
"Couche-Tard revenue rises to record, but profits drop amid higher costs",Financial Post,"Alimentation Couche-Tard Inc. recorded revenue of US$5 billion, but net earnings dropped to US$737.4 million in its latest quarter. Read on."
