Title,Source,Description
"Viasat to Provide In-Flight Connectivity to Additional Delta Aircraft, Including Widebodies",Yahoo Entertainment,"Viasat Inc. (NASDAQ: VSAT), a global communications company, today announced its in-flight connectivity (IFC) solution will be installed on a total of more..."
"Riyadh Air, Saudia Announce Big Boeing 787 Order",International Business Times,"Riyadh Air, Saudia announce big Boeing 787 order"
XFactor.io Welcomes Chief Technology Officer to Lead Product Innovation,Yahoo Entertainment,"XFactor.io, the intelligent go-to-market (GTM) platform, today announced the appointment of Chief Technology Officer (CTO) Jimmie Lee. Lee joins with over..."
