Title,Source,Description
"NASA, Boeing aiming for July launch of Starliner space capsule",Space Daily,"Washington (AFP) March 29, 2023


 The first crewed flight of Boeing's Starliner space capsule to the International Space Station (ISS) will take place in July, Boeing and NASA officials said Wednesday. 

The CST-100 Starliner mission, which had previously be…"
Is climate change leading to more turbulence on flights?,The Points Guy,"I never considered myself a nervous flyer until I flew from Chicago’s O’Hare International Airport (ORD) en route to Hartsfield-Jackson Atlanta (ATL) for a story with my TPG colleague, aviation reporter Zach Griff, on Feb. 22. Even though we only had mild rai…"
