Title,Source,Description
Embraer boosts net revenue forecast as deliveries set to increase in 2023,Yahoo Entertainment,Brazilian planemaker Embraer SA on Friday boosted its net revenue forecast for 2023 as it expects supply chain disruptions to gradually ease and aircraft...
GE lends helping hands to jet engine suppliers to sidestep supply-chain challenges,Yahoo Entertainment,"General Electric Co sent 12 machinists from its Rutland, Vermont, facility across the country last fall to help a sub-supplier in Arizona that was so short..."
2023 Layoff Tracker: Meta Could Reportedly Cut Thousands Of Employees,Forbes,"Amazon, Alphabet, Salesforce and Disney have all slashed staff this year, citing cloudy economic forecasts."
: Boeing stock rises as FAA clears company to resume Dreamliner deliveries,MarketWatch,Shares of Boeing Co. BA were among the few in the black Friday after U.S. aviation regulators cleared the aerospace and defense company to resume deliveries of its 787 Dreamliner jets. “Boeing addressed the FAA’s concerns. The FAA may resume issuing airworthi…
Embraer Boosts Net Revenue Forecast As Deliveries Set To Increase In 2023,International Business Times,Brazilian planemaker Embraer SA on Friday boosted its net revenue forecast for 2023 as it expects supply chain disruptions to gradually ease and aircraft deliveries to increase.
Two 10-year-old Boeing 787 Dreamliners are already being scrapped,CNN,"If you're in the market for a pair of lightly used widebody aircraft, you better head to Scotland fast and put in an offer — before two Boeing 787-8s formerly flying for Norwegian Air Shuttle get stripped for parts."
Boeing staffer wins 747 (million dollars); firms accused of hiring just to hit DEI targets,Tlnt.com,This week's round-up of HR news that caught our eye includes the incredible story of one lucky Boeing employee. Plus: Why US office occupancy rates are way behind other parts of the world still.
