Title,Source,Description
Virgin Orbit: Sir Richard Branson's rocket company lays off 85% of staff,Yahoo Entertainment,"Virgin Orbit will cease operations for the foreseeable future, according to media reports."
Virgin Orbit on brink of collapse as it sacks 85pc of staff,Yahoo Entertainment,Virgin Orbit is on the brink of collapse after the troubled rocket launch company announced it was laying off 85pc of its staff and ceasing operations.
15 Countries That Produce the Best Engineers in the World,Yahoo Entertainment,"In this article, we take a look at the 15 countries that produce the best engineers in the world. For more such countries, go to 5 Countries That Produce The..."
"Tesla Recalls Some Semi-Trucks, Ford Slams Brakes On Self-Driving Dreams, TikTok Founder Meets Walmart Chief Privately: Today's Top Stories",Yahoo Entertainment,"Benzinga Tesla Recalls Again — Except This Time, It's 35 Semi-Trucks EV giant Tesla Inc (NASDAQ: TSLA) is recalling thirty-five 2023 semi-trucks, citing..."
Virgin Orbit on brink of collapse as it sacks 85pc of staff - latest updates,Yahoo Entertainment,Sir Richard Branson has injected £11m into Virgin Orbit as the troubled rocket launch company seeks a last-minute buyer after laying off 85pc of its staff.
Richard Branson's Rocket Company Shuts Down for 'Foreseeable Future',Gizmodo.com,"Following a failed rocket launch earlier this year, Richard Branson’s private space venture has been struggling to stay afloat.Read more..."
Here’s A Better Pick Over Southwest Airlines Stock,Forbes,"Investors have assigned a higher multiple to LUV stock due to its superior profitability and better financial position, as discussed below If we look at stock returns, United Airlines, with -7% returns in the last twelve months, has fared better than Southwes…"
